id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18067,Bohemian home w/rooftop jacuzzi  & tiki bar,69546,Lisa,City of Los Angeles,Venice,33.99117,-118.45159,Entire home/apt,207,2,54,2021-10-18,0.60,3,4,3,HSR21-002074
19887,Eco-friendly Private Room in Silverlake House,75052,Janet,City of Los Angeles,Silver Lake,34.08363,-118.2843,Private room,75,30,253,2020-03-14,2.88,2,365,0,
20585,"Private Studio, 6 Doors to Beach",77857,Barbara,City of Los Angeles,Venice,33.98047,-118.46514,Entire home/apt,129,3,513,2021-10-26,5.27,1,85,28,HSR19-001144
20786,Mondrian-Inspired Studio With Breathtaking Views And Light,55411,HankBubbie,City of Los Angeles,Hollywood Hills,34.11187,-118.32479,Entire home/apt,220,5,43,2021-10-14,0.37,9,70,9,HSR19-003405
22355,"Experience Angeleno Magazine's ""Best Rental In Hills""",55411,HankBubbie,City of Los Angeles,Hollywood Hills,34.11374,-118.32503,Entire home/apt,209,5,53,2021-08-24,1.77,9,70,9,HSR19-003405
23363,Silver Lake foothills studio with huge deck,91335,David,City of Los Angeles,Silver Lake,34.10104,-118.25659,Entire home/apt,137,4,191,2021-10-12,3.01,1,11,18,HSR21-001071
23710,Green Sputnik in Highland Park,94038,Tatiana,City of Los Angeles,Highland Park,34.12057,-118.18934,Entire home/apt,171,1,280,2021-11-02,6.57,1,115,53,HSR19-001190
23925,Cactus Flower - Modernist Solar Guesthouse with Large Garden,95543,Ecoboutiquehomes,City of Los Angeles,Venice,34.0025,-118.4657,Entire home/apt,297,3,160,2021-10-29,3.74,11,133,40,HSR19-004625
23979,Sleek New York Style Loft With Jaw-Dropping Hollywood Views,55411,HankBubbie,City of Los Angeles,Hollywood Hills,34.11957,-118.32013,Entire home/apt,212,5,34,2021-10-22,0.25,9,32,8,HSR19-003021
24030,Beach Bungalow one block to ocean,96147,Michaela,City of Los Angeles,Venice,33.98798,-118.47245,Entire home/apt,130,30,271,2021-06-24,3.56,1,365,1,
24041,2block from beach-Historic Bungalow discount/month,39253,Omar & Kristina,Other Cities,Redondo Beach,33.83198,-118.38254,Entire home/apt,155,4,352,2021-09-29,3.06,2,247,6,
24349,"Experience the Wolford House, a Mid Century Hilltop Jewel",98565,Zara,City of Los Angeles,Mount Washington,34.10942,-118.22003,Entire home/apt,305,30,145,2021-09-07,1.99,1,123,26,HSR19-005705
25670,Charming accommodations in Westwood/West LA,107370,Sandra,City of Los Angeles,West Los Angeles,34.04579,-118.44166,Entire home/apt,93,30,19,2021-04-21,0.20,2,326,1,Exempt - This listing is a bed and breakfast
26082,Asian Pacific Suite,11619,Sarah,City of Los Angeles,Woodland Hills,34.1674,-118.64293,Private room,89,30,30,2020-03-12,0.41,5,59,0,
26157,Cozy Bed Room in  Westwood/ West L.A area,107370,Sandra,City of Los Angeles,West Los Angeles,34.04508,-118.44076,Private room,94,30,0,,,2,365,0,Exempt - This listing is a bed and breakfast
28529,2BR DWELL Inspired Escape InThe Sky Peace+Privacy,55411,HankBubbie,City of Los Angeles,Hollywood Hills,34.11212,-118.32526,Entire home/apt,281,28,35,2021-10-11,0.28,9,76,9,HSR19-003405
30725,room and bathroom in santa monica,132239,Lisa,Other Cities,Santa Monica,34.01214,-118.48156,Private room,100,30,67,2019-12-13,0.54,1,337,0,
31237,Charming & cozy room with breakfast!!,134109,Jeffrey,City of Los Angeles,Los Feliz,34.10291,-118.28698,Private room,90,30,186,2018-10-07,1.93,1,365,0,
32963,The Zanja Shangri-La,142776,Spencer,Other Cities,Culver City,33.99327,-118.44407,Entire home/apt,175,2,146,2021-10-07,3.44,1,153,13,
33447,Malibu Guest house/ near beach,144837,Patricia,Other Cities,Malibu,34.01451,-118.8064,Entire home/apt,188,30,332,2020-03-16,2.43,1,0,0,
35922,Luxury Beachfront Santa Monica Home,154164,Blu Santa Monica,Other Cities,Santa Monica,34.00774,-118.49441,Entire home/apt,1200,31,0,,,1,365,0,
37171,2 rm suite with kitchenette full bath private entr,160505,Charles,City of Los Angeles,Jefferson Park,34.03419,-118.33101,Entire home/apt,106,1,94,2021-10-31,1.46,1,0,5,HSR21-001474
37298,Spacious Soothing Hillside Hideaway Views+Zen Vibe,55411,HankBubbie,City of Los Angeles,Hollywood Hills,34.11319,-118.32303,Entire home/apt,303,5,4,2021-08-21,0.03,9,47,1,HSR19-003405
40667,Nice room for a nice price,175264,Michael,City of Los Angeles,Mid-City,34.03926,-118.38017,Private room,59,30,12,2018-08-24,0.10,1,365,0,
41643,4 Bed Hollywood Hills Pool Home,179850,Moira,City of Los Angeles,Studio City,34.1327,-118.38278,Entire home/apt,258,30,2,2012-08-01,0.02,1,337,0,
43318,Arts District Private Room 212,156094545,Sogo,City of Los Angeles,Downtown,34.04828,-118.23605,Private room,46,2,89,2021-03-26,1.02,15,291,3,
44062,Heart of Hollywood- The Original!,192939,Lisa,City of Los Angeles,Hollywood,34.09385,-118.33157,Entire home/apt,155,31,94,2020-01-04,1.42,3,78,1,
44509,Perfect Bedroom in Nice House with lovely pets!,195656,Leanna,City of Los Angeles,Van Nuys,34.19816,-118.45888,Private room,50,2,76,2021-01-19,0.62,3,18,4,HSR19-001548
44511,"Motel rm $450 week,wifi,micro/fridg",195697,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,70,1,238,2021-10-22,1.94,7,177,24,
45392,Cute Home in Mount Washington,201514,Olivia & Alexey,City of Los Angeles,Mount Washington,34.10632,-118.22361,Private room,54,30,24,2021-09-30,0.20,1,319,1,
45417,Silver Lake Cottage Oasis- Private Terrace- Thirty Night Min,50231247,Tim,City of Los Angeles,Silver Lake,34.09574,-118.27788,Entire home/apt,135,30,152,2021-08-31,1.69,4,62,4,
46699,"Motel Rm $450week , Free wifi /ac/micro/fridge",195697,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,70,1,196,2021-08-19,1.56,7,163,25,
46853,Private Silverlake Guesthouse,75052,Janet,City of Los Angeles,East Hollywood,34.08574,-118.28536,Entire home/apt,150,30,263,2020-08-23,3.40,2,365,0,
46858,3 Bed Designer House - Fire Pit Lounge & Hot Tub,210344,Brenna,Other Cities,Culver City,34.01269,-118.40788,Entire home/apt,300,4,156,2021-07-11,2.43,2,52,14,
47537,Malibu Ocean View Rooms for Rent 3,215462,Paul,Other Cities,Malibu,34.0309,-118.75528,Private room,450,2,161,2021-10-25,1.83,5,365,13,STR21-0049
47794,One Bedroom in Venice/MarinadelRey,217470,Rebecca,Other Cities,Culver City,33.99344,-118.44295,Private room,100,2,3,2015-09-18,0.04,1,0,0,
49731,garden single studio apartment,227075,Ana Maria,Other Cities,Glendale,34.15533,-118.23708,Entire home/apt,70,7,24,2021-09-06,1.11,2,186,11,
50005,Guest House - Nightly or Weekly,49391,Michelle,City of Los Angeles,Hollywood,34.09641,-118.34979,Entire home/apt,110,5,123,2021-10-16,2.87,1,71,9,HSR19-003079
51307,Spanish Bungalow Guest House LA CA. 30 plus nights,235568,David,City of Los Angeles,Atwater Village,34.12206,-118.26783,Entire home/apt,75,30,138,2020-12-13,2.74,2,20,1,
51498,Guest House With Its Own Entrance/Exit and Hot Tub,236758,Bay,City of Los Angeles,Mar Vista,34.00389,-118.44126,Entire home/apt,160,3,344,2021-10-19,2.75,1,343,37,HSR19-001336
51546,Cool Pad Under the Hollywood Sign,237114,Elen,City of Los Angeles,Hollywood Hills,34.11874,-118.32113,Entire home/apt,100,31,184,2021-08-31,1.84,1,304,4,
51922,Panoramic Ocean View Studio Loft,239712,Silvio,Other Cities,Santa Monica,34.01384,-118.49728,Private room,150,30,382,2020-02-18,3.39,13,363,0,Exempt
52871,Beverly Hills Large 1-Bdr Near Everything,245280,Micah,Other Cities,Beverly Hills,34.06118,-118.39804,Entire home/apt,160,4,116,2021-10-17,0.94,1,262,9,
52997,Historical Queen Anne Victorian,244186,Albert,Other Cities,Pasadena,34.15227,-118.10359,Private room,85,60,34,2016-05-16,0.29,2,333,0,
53579,Ocean View Studio/ 2 beds/ AMAZING!,239712,Silvio,Other Cities,Santa Monica,34.01389,-118.49724,Hotel room,189,30,146,2020-01-05,1.27,13,363,0,Exempt
53945,Cheerful Beverly Hills Apartment,239905,Michael,City of Los Angeles,Carthay,34.06171,-118.37258,Entire home/apt,135,31,142,2019-04-15,1.08,1,365,0,
61153,Furnished Bedroom /Hollywood Hills -HSR19-004287,3415,Nataraj,City of Los Angeles,Hollywood Hills West,34.10998,-118.38152,Private room,69,30,9,2021-08-22,0.10,4,365,1,HSR19-004287
61578,Find Peace at an Urban Oasis with Floor-to-Ceiling Glass,298123,Michael,City of Los Angeles,Venice,33.99122,-118.46898,Entire home/apt,417,30,24,2021-09-18,0.24,3,324,1,
61582,Tranquil Artist Retreat w/ Patio,298216,Robin,City of Los Angeles,Glassell Park,34.11082,-118.23036,Entire home/apt,78,30,10,2021-09-30,0.09,2,214,3,
63416,VIEWS! HOLLYWOOD SIGN - DOWNTOWN #1,309512,Vincenzo,City of Los Angeles,Hollywood Hills,34.11344,-118.32399,Private room,131,2,114,2021-09-04,0.91,3,300,6,HSR21-000113
64574,Hollywood Hills Architectural Home,285079,Paul,City of Los Angeles,Hollywood Hills,34.12769,-118.32167,Entire home/apt,220,31,17,2020-05-22,0.19,1,237,0,
67089,Tranquil Guesthouse Oasis with a Hot Tub,210344,Brenna,Other Cities,Culver City,34.00985,-118.40798,Entire home/apt,140,1,611,2021-10-22,5.44,2,256,54,
67672,furnished one bedroom,334198,Karen,Other Cities,Santa Monica,34.03878,-118.47447,Entire home/apt,85,31,42,2021-07-31,0.52,4,336,4,
67792,Hollywood Bungalow/Pool/GuestHouse,334952,Leigh,Other Cities,West Hollywood,34.08187,-118.38965,Entire home/apt,375,31,15,2021-09-08,0.13,1,200,4,
69015,Beautiful Garder View,341419,Sharda,Other Cities,La Mirada,33.89581,-118.02588,Shared room,901,1,0,,,1,365,0,
69838,L.A. Lifestyle--like you live here,351521,Georgia,City of Los Angeles,Mid-City,34.03833,-118.33662,Private room,103,2,612,2021-10-30,5.56,1,297,15,HSR21-001664
72186,Large and Lovely Bedroom in a Craftsman Home,230943,Deirdre,City of Los Angeles,Harvard Heights,34.04236,-118.30637,Private room,47,4,40,2021-08-16,0.32,1,243,10,HSR19-003164
74770,Spacious & Pristine Poolside Studio Near Lake Balboa Park,394279,Zeev,City of Los Angeles,Encino,34.18177,-118.52621,Entire home/apt,114,2,141,2021-10-21,1.13,3,294,20,HSR19-003866
75212,Sunny Room in town house nr Long Beach…,343761,Kris,Other Cities,Lakewood,33.8465,-118.08244,Private room,57,1,47,2021-10-11,0.38,1,295,9,
75512,"Arrival Haven II, The Artist Studio",161668,Lane,City of Los Angeles,Mid-Wilshire,34.06022,-118.33944,Private room,75,31,17,2016-03-22,0.14,1,365,0,
76561,BECAUSE REVIEWS DON'T LIE! 420 OK by LAX & SOFI!,403838,Jennifer,Unincorporated Areas,Ladera Heights,33.98522,-118.3616,Entire home/apt,134,3,688,2021-11-01,5.99,4,0,71,
79502,modern minimalist *city views*patio,428171,H.,City of Los Angeles,Silver Lake,34.08197,-118.27831,Entire home/apt,125,31,291,2021-08-31,3.70,2,305,4,
79832,Guest Quarters @ the Hollywood Sign,28569,Robert,City of Los Angeles,Hollywood Hills,34.12801,-118.31919,Entire home/apt,110,3,484,2021-01-18,3.98,1,89,1,HSR19-002716
80714,Cozy secluded Guesthouse in Garden,436647,Cari,City of Los Angeles,Mid-Wilshire,34.05798,-118.35541,Entire home/apt,119,30,183,2021-08-14,1.70,1,275,2,HSR19-003488
80734,Hollywood Hills 1BR oasis *** 1 MONTH MINIMUM ***,436865,Jamie,City of Los Angeles,Hollywood Hills,34.10943,-118.34073,Entire home/apt,90,31,111,2021-02-13,1.34,1,306,2,
81480,cozy furnished studio,334198,Karen,Other Cities,Santa Monica,34.0389,-118.47354,Entire home/apt,80,31,27,2021-06-30,0.23,4,296,1,
84636,"Motel Rm for rent ,Free Wifi and Parking $450Week",195697,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,70,1,264,2021-10-04,2.55,7,175,38,
84694,Zen Hollywood Hills Escape. Views Value Peace+Pvcy,55411,HankBubbie,City of Los Angeles,Hollywood Hills,34.12018,-118.32051,Entire home/apt,191,5,8,2021-08-07,0.06,9,59,1,HSR19-003021
84788,Privacy is yours. Private Room Private Bath,463812,Dawn,City of Los Angeles,North Hills,34.24135,-118.46301,Private room,69,30,66,2019-09-30,0.99,1,89,0,
84789,Mid Century 4+3 Ranch- Near Malibu Beach/Calabasas,11619,Sarah,City of Los Angeles,Woodland Hills,34.16708,-118.64441,Entire home/apt,299,30,130,2020-09-28,1.70,5,180,1,
85246,Charming Centrally Located Private Room/Bath,466662,Natalie,City of Los Angeles,Mid-Wilshire,34.05467,-118.36356,Private room,115,30,21,2017-07-01,0.16,1,365,0,
85973,Tujunga Canyon Bungalow,466847,Heather,City of Los Angeles,Tujunga,34.25419,-118.28138,Entire home/apt,90,30,26,2020-12-13,0.20,3,93,1,
86674,Vintage and private - walk to Sunset & Views,428171,H.,City of Los Angeles,Silver Lake,34.08195,-118.2784,Entire home/apt,125,30,269,2021-04-17,3.40,2,353,5,
87595,GoodVibeStudio+Venice Bch+LAX+Bikes,479630,Corbin,City of Los Angeles,Westchester,33.96731,-118.41919,Entire home/apt,115,4,459,2021-10-10,3.94,2,65,26,HSR19-003197
90986,Vintage Charming Guest House,491953,Cheryl Francis,City of Los Angeles,Mid-City,34.03948,-118.34081,Entire home/apt,105,180,1,2011-05-21,0.01,1,365,0,
92481,Good Vibrations Home+Beach+Bikes!!,479630,Corbin,City of Los Angeles,Westchester,33.96723,-118.42043,Entire home/apt,315,7,3,2020-01-01,0.03,2,197,0,HSR19-003197
93359,Ocean Views on Ocean Avenue!,239712,Silvio,Other Cities,Santa Monica,34.01418,-118.49738,Hotel room,175,30,189,2021-02-14,3.57,13,363,2,Exempt
95242,Private Apt. in Heart of City!  S.B,465624,Angie,City of Los Angeles,Fairfax,34.07782,-118.35833,Entire home/apt,77,30,104,2021-01-13,1.04,7,2,2,
96334,Private room in a cozy creative home,511559,Julie,City of Los Angeles,Woodland Hills,34.15504,-118.6031,Private room,59,30,26,2018-06-28,0.20,1,0,0,Exempt - This listing is a transient occupancy residential structure
97000,Motel Rm 2beds/micro/fridge/AC/wifi,195697,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,80,1,89,2021-09-25,0.93,7,167,10,
97354,Charming Spanish Home by the Beach,486261,Lisa,Other Cities,Santa Monica,34.03735,-118.49205,Entire home/apt,550,330,18,2017-01-01,0.14,1,358,0,
99962,Peaceful Private Suite in Gorgeous Penthouse,508888,Johnny,City of Los Angeles,Hollywood Hills,34.10798,-118.3323,Private room,75,30,15,2020-11-30,0.19,2,93,1,
100074,Budget Accommodation Beachside!,239712,Silvio,Other Cities,Santa Monica,34.01204,-118.49715,Hotel room,133,1,488,2021-10-26,4.86,13,249,81,Exempt
101702,Lovely Echo Park Studio,532541,Maiana,City of Los Angeles,Echo Park,34.07332,-118.26331,Entire home/apt,100,30,219,2021-05-28,3.97,2,277,2,HSR19-004125
104010,SUPER COZY Mid Century LA House with city view.,531528,Matulka,City of Los Angeles,Mount Washington,34.09159,-118.21954,Entire home/apt,175,30,262,2020-08-23,2.51,2,0,0,HSR20-001603
104444,Fab 2 BD House Near the Grove A3,465624,Angie,City of Los Angeles,Fairfax,34.08023,-118.34657,Entire home/apt,139,30,113,2019-09-22,1.12,7,0,0,
106052,Stand Alone Studio Cottage Retreat,550047,Dean,Other Cities,Carson,33.8271,-118.27944,Entire home/apt,74,5,411,2021-10-31,4.09,1,272,41,
106061,Silver Lake Cottage (Los Angeles 90026),550078,Darrell E,City of Los Angeles,Silver Lake,34.08587,-118.2648,Entire home/apt,83,30,192,2021-10-05,3.96,1,273,2,
111646,"AMAZING PRICE, HUGE  TOWNHOUSE IN NOHO",102117,Ines,City of Los Angeles,North Hollywood,34.17324,-118.38833,Private room,59,30,17,2019-02-13,0.44,1,319,0,
113253,"Cali, Cozy, Rustic Log Cabin Feel",576425,David,City of Los Angeles,Mid-City,34.04884,-118.37155,Private room,80,30,12,2019-07-04,0.18,1,255,0,
114203,Executive 1 Bedroom Suite-LUXURY!!!,579779,Chaim,Other Cities,West Hollywood,34.09513,-118.36875,Entire home/apt,125,30,29,2021-10-11,0.26,1,288,3,
120005,Motel Rm $450wk /free wifi and parking,195697,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,70,1,72,2021-10-18,0.80,7,180,16,
121717,Updated Mid-Century Property by Angeles National Forest,219283,Katy,Unincorporated Areas,Altadena,34.20977,-118.16546,Entire home/apt,236,3,29,2021-08-09,1.41,8,343,9,
124199,BEVERLY HILLS APT,619518,Beverly Hills Apt.,Other Cities,Beverly Hills,34.06547,-118.40422,Entire home/apt,145,3,69,2021-10-09,0.55,2,310,22,
127766,"Cypress in Quiet Canyon: Gourmet Kitchen, W/D, Prk",523903,Michelle,City of Los Angeles,Echo Park,34.08839,-118.24838,Entire home/apt,110,30,11,2021-05-27,0.11,4,314,1,Exempt - This listing is a transient occupancy residential structure
130915,Pvt. Home Available,644202,Jeff,Other Cities,Calabasas,34.13097,-118.70429,Private room,80,1,324,2021-08-19,4.06,1,182,19,
131174,Santa Monica Beach Suite 5,648867,Anthony,City of Los Angeles,Pacific Palisades,34.02732,-118.51856,Private room,100,30,255,2021-08-05,3.36,3,277,17,Exempt - This listing is a hotel or motel
131557,sweet little apt,78804,Sophie,City of Los Angeles,Echo Park,34.08023,-118.25646,Entire home/apt,120,30,80,2021-01-31,1.23,6,306,3,
131635,COZY BEDROOM FOR TWO  (2 TWIN BEDS),647546,Marco,City of Los Angeles,Valley Glen,34.1831,-118.39929,Private room,45,30,76,2021-10-09,0.61,3,87,1,HSR19-003988
132908,Spectacular Home With Breathtaking View,633484,Alexio & Vero,City of Los Angeles,Hollywood Hills West,34.10236,-118.37752,Entire home/apt,1107,30,249,2021-01-24,2.22,1,365,4,HSR20-002235
134553,The Creative Suite in Topanga Cyn,592405,David,Unincorporated Areas,Topanga,34.09729,-118.61616,Entire home/apt,90,1,385,2021-10-17,10.59,7,357,60,
135608,Arts District Private Room 226,156094545,Sogo,City of Los Angeles,Downtown,34.04827,-118.23603,Private room,45,2,92,2021-09-12,0.97,15,327,11,
137215,Sage in Quiet Canyon with 2 Furnished Patios,523903,Michelle,City of Los Angeles,Echo Park,34.08916,-118.2489,Entire home/apt,165,30,12,2020-12-23,0.16,4,305,1,Exempt - This listing is a transient occupancy residential structure
138211,Santa Monica/Brentwood Guest House,674917,Julie,City of Los Angeles,Sawtelle,34.03493,-118.4629,Entire home/apt,150,31,518,2019-06-15,5.00,1,186,0,
138244,Garden of Edenhurst Guest House - 1BR,675083,Alejandra,City of Los Angeles,Atwater Village,34.1217,-118.26329,Entire home/apt,125,30,94,2021-08-15,1.18,4,282,3,HSR21-001354
143210,"Cozy room1; Silverlake, Los Angeles",694988,Peter And Diane,City of Los Angeles,Los Feliz,34.09869,-118.27475,Private room,120,30,82,2019-02-18,1.21,2,365,0,
150097,CHARMING MASTER STUDIO  W/JACUZZI TUB  IN NOHO,647546,Marco,City of Los Angeles,Valley Glen,34.18163,-118.39925,Private room,65,30,216,2020-11-29,4.31,3,179,4,Exempt - This listing is a bed and breakfast
152333,Huge 2BR:Walk to All -Grove/CBS S.D,465624,Angie,City of Los Angeles,Fairfax,34.07824,-118.35823,Entire home/apt,160,30,93,2020-11-01,0.76,7,305,0,
153412,Beautiful Venice Beach Canal house,737626,Kaj,City of Los Angeles,Venice,33.98335,-118.46769,Entire home/apt,275,30,61,2019-11-14,0.50,1,89,0,
160288,Topanga Mountain Wonderland Cottage,592405,David,Unincorporated Areas,Topanga,34.09793,-118.61621,Entire home/apt,115,1,484,2021-10-19,4.49,7,343,110,
164889,Japanese Teahouse in Topanga,592405,David,Unincorporated Areas,Topanga,34.09813,-118.61599,Entire home/apt,120,1,292,2021-10-18,10.95,7,342,112,
164946,Arts District Private Room 234,156094545,Sogo,City of Los Angeles,Downtown,34.04827,-118.23603,Private room,45,1,56,2021-09-23,0.46,15,359,6,
165978,Comfy Large 2 Bd 2 Bath Parking Pet Friendly,294812,Arna & Terri,City of Los Angeles,Fairfax,34.06923,-118.34549,Entire home/apt,195,30,21,2021-08-10,0.33,2,361,2,
172707,Maple: Quiet Canyon Condo with 2 Garden Patios,523903,Michelle,City of Los Angeles,Echo Park,34.08913,-118.24896,Entire home/apt,120,30,21,2020-01-31,0.70,4,327,0,Exempt - This listing is a transient occupancy residential structure
173568,"""Melrose"" Adorable 2 bd apt.  M1",465624,Angie,City of Los Angeles,Fairfax,34.08475,-118.35117,Entire home/apt,89,30,101,2019-04-01,1.98,7,302,0,
180926,"Malibu Charming, Cozy Home Studio in Nature",866997,Rebecca,Unincorporated Areas,Unincorporated Santa Monica Mountains,34.07054,-118.89799,Entire home/apt,235,2,80,2021-10-18,38.71,1,74,38,
181430,Huge and rare 2br duplex in Santa Monica,869641,Aaron,Other Cities,Santa Monica,34.03441,-118.47219,Entire home/apt,139,21,17,2021-01-31,0.14,1,328,1,Exempt
181511,"Sunny, spacious apartment with deck",870087,Martineke,City of Los Angeles,Elysian Valley,34.10053,-118.24925,Entire home/apt,140,30,36,2021-09-16,1.28,2,355,3,Exempt - This listing is a bed and breakfast
183319,Panoramic Ocean View Venice Beach,867995,Barbara X,City of Los Angeles,Venice,33.99211,-118.476,Entire home/apt,152,30,3,2019-02-25,0.03,2,0,0,
184314,Boho Chic Flat..Steps to Beach!,884031,Ashley,City of Los Angeles,Venice,33.97487,-118.46312,Entire home/apt,125,30,30,2017-12-24,0.27,1,0,0,
185536,Lovely Private rm in Home to FEMALE (Red Room),890778,Laura,City of Los Angeles,Westchester,33.96154,-118.42373,Private room,75,30,12,2020-12-05,0.27,2,329,1,
185557,"Private Room in Home to FEMALE, pls (Purple Room)",890778,Laura,City of Los Angeles,Westchester,33.962,-118.42204,Private room,75,30,11,2021-10-31,0.12,2,250,2,
187526,Malibu Pacific Ocean View Room 1,215462,Paul,Other Cities,Malibu,34.03073,-118.75513,Private room,350,2,182,2021-09-01,2.69,5,359,19,Exempt
188081,Griffith Park Home - Available Summer 2018,905689,Daniel,City of Los Angeles,Hollywood Hills,34.11088,-118.30782,Entire home/apt,60,30,0,,,2,304,0,
191733,Gorgeous Spanish/Modern Guesthouse,1597048,Shelli-Anne,City of Los Angeles,Atwater Village,34.11365,-118.25162,Entire home/apt,100,31,84,2021-01-22,0.70,1,186,2,
194809,Large 1 BR Culver City Peaceful Getaway!,946246,Michelle,City of Los Angeles,Palms,34.0238,-118.40512,Entire home/apt,59,30,23,2019-11-12,0.21,1,0,0,
196410,Little villa Apartment,78804,Sophie,City of Los Angeles,Echo Park,34.08187,-118.25663,Entire home/apt,130,30,58,2019-09-24,0.48,6,55,0,
197756,Hillside Apartment in Silverlake (Sunset Junction),964494,Artemis,City of Los Angeles,Silver Lake,34.08618,-118.27651,Entire home/apt,133,30,137,2021-09-21,1.15,1,307,6,
198613,Stylish Bungalow House- In TheTrendy Melrose Area.,969656,Jeffrey,City of Los Angeles,Fairfax,34.08538,-118.34455,Entire home/apt,84,31,16,2018-09-03,0.14,1,344,0,
